algo,metric,value
ML-KEM-1024,decap-wall-median-ns,165426
ML-KEM-1024,decap-wall-p95-ns,166611
ML-KEM-1024,decap-wall-p99-ns,175056
ML-KEM-1024,decap-wall-std-ns,2037.4
ML-KEM-1024,encap-cyc-mean,5913.9
ML-KEM-1024,encap-cyc-median,5894
ML-KEM-1024,encap-iters,1000
ML-KEM-1024,encap-persec,9157.2
ML-KEM-1024,encap-wall-ci95hi-ns,109769.3
ML-KEM-1024,encap-wall-ci95lo-ns,109407.3
ML-KEM-1024,encap-wall-mean-ns,109583.3
ML-KEM-1024,encap-wall-median-ns,109204
ML-KEM-1024,encap-wall-p95-ns,110148
ML-KEM-1024,encap-wall-p99-ns,119111
ML-KEM-1024,encap-wall-std-ns,1764
ML-KEM-1024,keygen-cyc-mean,11947.2
ML-KEM-1024,keygen-cyc-median,11890
ML-KEM-1024,keygen-iters,1000
ML-KEM-1024,keygen-persec,4539.3
ML-KEM-1024,keygen-wall-ci95hi-ns,221760.3
ML-KEM-1024,keygen-wall-ci95lo-ns,220967.7
ML-KEM-1024,keygen-wall-mean-ns,221354.1
ML-KEM-1024,keygen-wall-median-ns,220296
ML-KEM-1024,keygen-wall-p95-ns,230240
ML-KEM-1024,keygen-wall-p99-ns,236741
ML-KEM-1024,keygen-wall-std-ns,5761.2
ML-KEM-1024,size-ciphertext-bytes,1568
ML-KEM-1024,size-key-bits,1024
ML-KEM-1024,size-privkey-bytes,3168
ML-KEM-1024,size-pubkey-bytes,1568
ML-KEM-1024,size-shared-secret-bytes,32
ML-KEM-512,decap-cyc-mean,5017.9
ML-KEM-512,decap-cyc-median,5004
ML-KEM-512,decap-iters,1000
ML-KEM-512,decap-persec,10782.7
ML-KEM-512,decap-wall-ci95hi-ns,93102.5
ML-KEM-512,decap-wall-ci95lo-ns,92906.4
ML-KEM-512,decap-wall-mean-ns,93004.5
ML-KEM-512,decap-wall-median-ns,92741
ML-KEM-512,decap-wall-p95-ns,92926
ML-KEM-512,decap-wall-p99-ns,102389
ML-KEM-512,decap-wall-std-ns,1582.1
ML-KEM-512,encap-cyc-mean,3480.8
ML-KEM-512,encap-cyc-median,3470
ML-KEM-512,encap-iters,1000
ML-KEM-512,encap-persec,15539.8
ML-KEM-512,encap-wall-ci95hi-ns,64619.4
ML-KEM-512,encap-wall-ci95lo-ns,64458.5
ML-KEM-512,encap-wall-mean-ns,64538.9
ML-KEM-512,encap-wall-median-ns,64351
ML-KEM-512,encap-wall-p95-ns,64574
ML-KEM-512,encap-wall-p99-ns,74037
ML-KEM-512,encap-wall-std-ns,1297.9
ML-KEM-512,keygen-cyc-mean,5669.8
ML-KEM-512,keygen-cyc-median,5640
ML-KEM-512,keygen-iters,1000
ML-KEM-512,keygen-persec,9561
ML-KEM-512,keygen-wall-ci95hi-ns,105311
ML-KEM-512,keygen-wall-ci95lo-ns,104795.4
ML-KEM-512,keygen-wall-mean-ns,105108.8
ML-KEM-512,keygen-wall-median-ns,104592
ML-KEM-512,keygen-wall-p95-ns,106204
ML-KEM-512,keygen-wall-p99-ns,116111
ML-KEM-512,keygen-wall-std-ns,3549.7
ML-KEM-512,size-ciphertext-bytes,768
ML-KEM-512,size-key-bits,512
ML-KEM-512,size-privkey-bytes,1632
ML-KEM-512,size-pubkey-bytes,800
ML-KEM-512,size-shared-secret-bytes,32
ML-KEM-768,decap-cyc-mean,6871
ML-KEM-768,decap-cyc-median,6852
