algo,metric,value
ecdsa-P-384,verify-wall-p99-ns,422988
ecdsa-P-384,verify-wall-std-ns,2757.6
ecdsa-P-521,keygen-cyc-mean,2975630.4
ecdsa-P-521,keygen-cyc-median,2970208
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-persec,905
ecdsa-P-521,keygen-wall-ci95hi-ns,1107714.4
ecdsa-P-521,keygen-wall-ci95lo-ns,1106344.5
ecdsa-P-521,keygen-wall-mean-ns,1107029.5
ecdsa-P-521,keygen-wall-median-ns,1105011
ecdsa-P-521,keygen-wall-p95-ns,1115725
ecdsa-P-521,keygen-wall-p99-ns,1171422
ecdsa-P-521,keygen-wall-std-ns,9751.9
ecdsa-P-521,sign-cyc-mean,3122158.9
ecdsa-P-521,sign-cyc-median,3120990
ecdsa-P-521,sign-iters,1000
ecdsa-P-521,sign-persec,861.2
ecdsa-P-521,sign-wall-ci95hi-ns,1161814.9
ecdsa-P-521,sign-wall-ci95lo-ns,1161266.3
ecdsa-P-521,sign-wall-mean-ns,1161540.6
ecdsa-P-521,sign-wall-median-ns,1161106
ecdsa-P-521,sign-wall-p95-ns,1167687
ecdsa-P-521,sign-wall-p99-ns,1179407
ecdsa-P-521,sign-wall-std-ns,4365.3
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdsa-P-521,verify-cyc-mean,2490864.6
ecdsa-P-521,verify-cyc-median,2489718
ecdsa-P-521,verify-iters,1000
ecdsa-P-521,verify-persec,1079.6
ecdsa-P-521,verify-wall-ci95hi-ns,926877.6
ecdsa-P-521,verify-wall-ci95lo-ns,926490.1
ecdsa-P-521,verify-wall-mean-ns,926683.9
ecdsa-P-521,verify-wall-median-ns,926257
ecdsa-P-521,verify-wall-p95-ns,931557
ecdsa-P-521,verify-wall-p99-ns,941797
ecdsa-P-521,verify-wall-std-ns,3582.9
rsa-15360,key-size,15360
rsa-15360,keygen-cyc-mean,131837709686.1
rsa-15360,keygen-cyc-median,113827756178
rsa-15360,keygen-iters,100
rsa-15360,keygen-persec,0
rsa-15360,keygen-wall-ci95hi-ns,55492684830.5
rsa-15360,keygen-wall-ci95lo-ns,42302663512
rsa-15360,keygen-wall-mean-ns,49046768789.8
rsa-15360,keygen-wall-median-ns,42346637035
rsa-15360,keygen-wall-p95-ns,107293612893
rsa-15360,keygen-wall-p99-ns,133845799335
rsa-15360,keygen-wall-std-ns,32887326738.1
rsa-15360,oaep-decrypt-cyc-mean,408932813.5
rsa-15360,oaep-decrypt-cyc-median,408561750
rsa-15360,oaep-decrypt-iters,100
rsa-15360,oaep-decrypt-persec,6.6
rsa-15360,oaep-decrypt-wall-ci95hi-ns,152401759.3
rsa-15360,oaep-decrypt-wall-ci95lo-ns,151863794.3
rsa-15360,oaep-decrypt-wall-mean-ns,152132776.8
rsa-15360,oaep-decrypt-wall-median-ns,151994736
rsa-15360,oaep-decrypt-wall-p95-ns,152120754
rsa-15360,oaep-decrypt-wall-p99-ns,159820041
rsa-15360,oaep-decrypt-wall-std-ns,1329097
rsa-15360,oaep-encrypt-cyc-mean,1799118.5
rsa-15360,oaep-encrypt-cyc-median,1798492
rsa-15360,oaep-encrypt-iters,100
rsa-15360,oaep-encrypt-persec,1494.5
rsa-15360,oaep-encrypt-wall-ci95hi-ns,669931.3
rsa-15360,oaep-encrypt-wall-ci95lo-ns,668741
rsa-15360,oaep-encrypt-wall-mean-ns,669336.2
rsa-15360,oaep-encrypt-wall-median-ns,669104
rsa-15360,oaep-encrypt-wall-p95-ns,673894
rsa-15360,oaep-encrypt-wall-p99-ns,674544
rsa-15360,oaep-encrypt-wall-std-ns,2845.6
rsa-15360,pss-sign-cyc-mean,408831453.5
rsa-15360,pss-sign-cyc-median,408489480
rsa-15360,pss-sign-iters,100
rsa-15360,pss-sign-persec,6.6
rsa-15360,pss-sign-wall-ci95hi-ns,152386852
rsa-15360,pss-sign-wall-ci95lo-ns,151824219.6
rsa-15360,pss-sign-wall-mean-ns,152095072.1
rsa-15360,pss-sign-wall-median-ns,151967880
rsa-15360,pss-sign-wall-p95-ns,152205127
